Date,Open,High,Low,Close,Adj Close,Volume
2017-07-17,3.970000,4.090000,3.860000,3.860000,3.860000,31400
2017-07-24,3.940000,3.970000,3.500000,3.770000,3.770000,76700
2017-07-31,3.780000,4.020000,3.561000,3.830000,3.830000,41500
2017-08-07,3.810000,3.980000,3.680000,3.680000,3.680000,24700
2017-08-14,3.680000,3.750000,3.455000,3.620000,3.620000,13200
2017-08-21,3.497000,3.702000,3.450000,3.480000,3.480000,41700
2017-08-28,3.480000,4.000000,3.478000,3.850000,3.850000,48300
2017-09-04,3.710000,4.013000,3.690000,3.970000,3.970000,79700
2017-09-11,3.910000,4.250000,3.750000,4.250000,4.250000,160500
2017-09-18,4.050000,4.670000,4.001000,4.270000,4.270000,102000
2017-09-25,4.270000,5.310000,3.970000,5.160000,5.160000,97800
2017-10-02,5.390000,9.500000,5.060000,7.400000,7.400000,1352700
2017-10-09,7.880000,11.170000,7.200000,7.900000,7.900000,6056600
2017-10-16,7.890000,8.700000,7.140000,8.490000,8.490000,2868300
2017-10-23,8.840000,9.500000,6.730000,6.910000,6.910000,3407300
2017-10-30,7.060000,7.989000,6.331000,6.750000,6.750000,2178600
2017-11-06,7.000000,8.980000,6.800000,7.160000,7.160000,3549500
2017-11-13,7.100000,9.200000,6.890000,8.130000,8.130000,4141800
2017-11-20,8.460000,24.000000,8.060000,23.600000,23.600000,49979500
2017-11-27,21.500000,21.770000,12.010000,15.000000,15.000000,48661800
2017-12-04,16.500000,16.719999,13.500000,15.860000,15.860000,20210700
2017-12-11,19.059999,33.270000,17.750000,28.500000,28.500000,90976300
2017-12-18,32.200001,46.200001,20.200001,24.520000,24.520000,100374600
2017-12-25,28.520000,33.279999,26.740000,28.400000,28.400000,28493000
2018-01-01,28.500000,28.700001,22.530001,24.430000,24.430000,17409400
2018-01-08,25.139999,25.770000,20.629999,21.879999,21.879999,14080800
2018-01-15,20.000000,21.440001,16.040001,19.910000,19.910000,14002300
2018-01-22,19.389999,20.730000,17.059999,17.129999,17.129999,6210400
2018-01-29,16.850000,17.000000,11.600000,12.160000,12.160000,8770300
2018-02-05,11.400000,16.410000,10.400000,16.049999,16.049999,16123400
2018-02-12,16.570000,18.400000,10.550000,11.460000,11.460000,23487200
2018-02-19,10.500000,12.400000,9.520000,10.270000,10.270000,9081400
2018-02-26,9.950000,10.750000,9.651000,10.580000,10.580000,4584500
2018-03-05,10.670000,10.850000,9.050000,9.240000,9.240000,3338300
2018-03-12,9.110000,9.243000,7.300000,8.290000,8.290000,4843200
2018-03-19,8.120000,8.750000,7.400000,7.500000,7.500000,2930100
2018-03-26,7.670000,7.760000,6.000000,6.620000,6.620000,2151200
2018-04-02,6.510000,7.810000,6.170000,6.640000,6.640000,6156100
2018-04-09,6.580000,8.360000,6.250000,7.750000,7.750000,7162500
2018-04-16,7.700000,7.870000,6.250000,6.650000,6.650000,3175500
2018-04-23,6.660000,7.880000,6.460000,7.490000,7.490000,3489600
2018-04-30,7.460000,8.150000,7.020000,7.560000,7.560000,1922000
2018-05-07,7.310000,7.800000,7.150000,7.380000,7.380000,2054100
2018-05-14,7.400000,9.750000,7.380000,9.000000,9.000000,5005700
2018-05-21,8.850000,9.100000,7.500000,7.590000,7.590000,2609400
2018-05-28,7.530000,7.700000,6.820000,7.390000,7.390000,2174100
2018-06-04,7.590000,8.150000,7.410000,7.710000,7.710000,1721900
2018-06-11,7.610000,7.745000,7.200000,7.400000,7.400000,1345500
2018-06-18,7.260000,7.750000,6.820000,6.880000,6.880000,1589100
2018-06-25,6.800000,7.110000,6.280000,6.340000,6.340000,1635500
2018-07-02,6.280000,6.880000,5.036000,5.150000,5.150000,2507500
2018-07-09,5.290000,5.290000,4.410000,4.660000,4.660000,2705400
2018-07-16,4.640000,6.640000,4.550000,5.900000,5.900000,19043900
2018-07-23,6.290000,8.555000,6.070000,7.590000,7.590000,23836700
2018-07-30,7.600000,7.640000,6.300000,6.830000,6.830000,5715200
2018-08-06,6.810000,7.300000,6.520000,6.960000,6.960000,3087200
2018-08-13,6.880000,6.949000,4.760000,5.370000,5.370000,3482900
2018-08-20,5.360000,5.880000,4.950000,5.500000,5.500000,2116500
2018-08-27,5.630000,6.470000,5.550000,6.300000,6.300000,3636000
